Height,Weight,Bust,Stomach,Hips,,Neck,Sleeve Length (F/S),Shoulder Width,Torso Length,Bicep,Wrist,,Rise,Length (Leg),Waist (Pants),THigh
175,80,104,97.7,103,,40.9,63.1,48.3,75.5,33.5,18.5,,67.2,101.6,95.7,58.7
180,80,103,95.8,102.8,,40.7,65.2,48.5,77.3,32.9,18.5,,67.1,104.9,94.8,58
185,80,102,93.9,101.9,,40.4,67.2,48.7,79.1,32.3,18.6,,67,108.2,93.9,57.2
190,80,101,92.1,101,,40.2,69.2,48.9,80.9,31.8,18.6,,66.9,111.5,93,56.5
195,80,100,90.3,100.1,,40,71.2,49.1,82.7,31.3,18.7,,66.8,114.7,92,55.8
200,80,99.1,88.4,99.1,,39.8,73.2,49.4,84.5,30.8,18.7,,66.7,117.9,91,55.1
150,80,109.1,103,109.6,,41.9,53.5,47.2,66.6,37.1,18.5,,68,85.6,99.1,63.3
155,80,108.1,100.4,107.2,,41.6,55.1,47.4,68.1,36.5,18.4,,67.3,88.7,96.8,62.5
160,80,107,98.1,105.5,,41.3,57,47.7,69.8,35.9,18.4,,66.9,91.9,95.2,61.6
165,80,106,96.2,104.2,,41,58.9,47.9,71.6,35.4,18.4,,66.6,95.2,94.1,60.8
170,80,105,94.3,103.2,,40.8,61,48.1,73.5,34.8,18.5,,66.5,98.5,93.1,60
175,80,104,92.4,102.3,,40.6,63,48.4,75.3,34.2,18.5,,66.3,101.8,92.2,59.2
180,80,102.9,90.6,101.3,,40.4,65.1,48.6,77.2,33.6,18.6,,66.2,105,91.3,58.4
185,80,101.9,88.7,100.4,,40.1,67.1,48.8,79,33,18.6,,66.1,108.3,90.4,57.6
190,80,100.9,86.8,99.5,,39.9,69.1,49.1,80.8,32.5,18.6,,66,111.5,89.5,56.9
195,80,99.8,84.9,98.6,,39.7,71.2,49.3,82.6,31.9,18.7,,65.8,114.8,88.6,56.1
200,80,98.8,83,97.7,,39.4,73.2,49.5,84.4,31.3,18.7,,65.7,118,87.7,55.4
150,80,110.9,110.5,109.4,,42.6,53.2,47.5,66.8,36.6,18.4,,68.2,85.3,102.2,62.5
155,80,109.7,108.3,108.1,,42.3,55.1,47.7,68.5,36.1,18.5,,68,88.6,100.9,61.8
160,80,108.6,106.2,107.1,,42,57.1,47.9,70.2,35.6,18.5,,67.8,91.9,99.9,61
165,80,107.5,104.2,106.1,,41.7,59.2,48.1,72,35,18.5,,67.7,95.2,98.9,60.3
170,80,106.4,102.3,105.2,,41.5,61.2,48.3,73.9,34.5,18.6,,67.6,98.5,97.9,59.5
175,80,105.4,100.4,104.3,,41.2,63.2,48.5,75.7,33.9,18.6,,67.5,101.8,97,58.8
180,80,104.4,98.6,103.3,,41,65.3,48.8,77.5,33.4,18.7,,67.4,105.1,96.1,58
185,80,103.5,96.9,102.4,,40.8,67.3,49,79.3,32.9,18.7,,67.3,108.3,95.2,57.3
190,80,102.8,95.3,101.5,,40.7,69.3,49.3,81.1,32.5,18.8,,67.2,111.5,94.3,56.6
195,80,102.2,93.8,100.4,,40.7,71.2,49.6,82.9,32.1,18.9,,67.1,114.6,93.3,55.9
200,80,102,92.5,99.1,,40.8,73.1,50,84.6,32,19,,67,117.6,92,55.3
150,80,110.6,104.3,106.5,,42.3,53,47.5,66.8,37.6,18.4,,66.8,84.9,97.2,63
155,80,109.7,102,105.6,,42.1,55,47.8,68.5,37.1,18.4,,66.6,88.3,96.1,62.3
160,80,108.7,99.7,104.6,,41.8,57,48,70.2,36.6,18.5,,66.5,91.6,95,61.6
165,80,107.7,97.5,103.7,,41.5,59,48.3,72,36.1,18.5,,66.3,94.9,93.9,60.8
170,80,106.8,95.2,102.8,,41.2,61,48.5,73.7,35.6,18.5,,66.2,98.2,92.9,60.1
175,80,105.8,93,101.9,,41,63,48.7,75.4,35.1,18.6,,66,101.5,91.8,59.4
180,80,104.8,90.7,100.9,,40.7,65,49,77.2,34.6,18.6,,65.9,104.9,90.7,58.7
185,80,103.8,88.4,100,,40.4,67,49.2,78.9,34,18.7,,65.8,108.2,89.7,58
190,80,102.9,86.2,99.1,,40.1,69,49.4,80.6,33.5,18.7,,65.6,111.5,88.6,57.2
195,80,101.9,83.9,98.1,,39.9,71,49.7,82.4,33,18.8,,65.5,114.8,87.5,56.5
200,80,100.9,81.7,97.2,,39.6,72.9,49.9,84.1,32.5,18.8,,65.3,118.2,86.5,55.8
